word,p1,p2,p3,p4,p5
替代,0.001953888,0.001358785,0.001513335,0.000496635,0.000214346
双方,0.000550367,0.000477899,0.000627715,0.000312871,0.002096265
目前,0.0032749,0.002463617,0.003123937,0.002482703,0.001455342
处罚,0.002174008,0.001343749,0.000934086,0.000836737,0.00023592
商务部,0.002064046,0.001955628,0.000918137,0.000907852,0.00053519
必须,0.000302834,0.000447935,0.000708357,0.000638791,0.002010984
进口,0.001032273,0.002567488,0.001288386,0.000908153,0.00109126
谈判,0.000357934,0.000671666,0.000643718,0.000171318,0.001903469
表示,0.003357622,0.004553529,0.003993688,0.00363191,0.002824742
产生,0.001953891,0.001418214,0.00064442,0.000709173,0.000385435
使用,0.001472447,0.002015438,0.001835524,0.00070961,0.000620619
股价,0.001582499,0.00200036,0.001062999,0.000936135,0.000364199
交易,0.001884859,0.000597566,0.000627904,0.000440248,0.001411828
电信,0.00188499,0.001000557,0.001191249,0.000397557,0.000385186
国家,0.003206073,0.002224677,0.00214193,0.003404712,0.002182867
采取,0.001871308,0.001283945,0.000757213,0.001304604,0.000236112
日本,0.000206403,0.000209268,0.000467147,0.001673499,0.000685135
零部件,0.001678686,0.001284136,0.001658389,0.000921968,0.000235966
年月日,0.001761209,0.001149675,0.000918151,0.001574113,0.0002362
电子,0.001692334,0.000866228,0.001126862,0.000453953,0.000150252
采购,0.000976992,0.001000492,0.00185132,0.000581811,0.000278494
应对,0.001596169,0.001388326,0.000692711,0.000779773,0.000129159
继续,0.000303059,0.001029872,0.001239543,0.000397989,0.001689883
全面,0.00188498,0.000940651,0.000547599,0.000411692,0.000748693
危机,0.00068795,0.000567752,0.001786578,0.000341077,0.00047063
管制,0.00140347,0.001030123,0.000612403,0.001531273,0.000129444
业务,0.002807069,0.002299143,0.00141729,0.001546505,0.002225322
其实,0.000137646,0.000164186,0.000161429,0.000553235,0.001476077
高科技,0.000578267,0.001940437,0.001352577,0.000667069,0.000813063
奖金,0.001568521,0.00089603,0.001046261,0.000298144,0.000171413
总统,0.000179009,0.000283225,9.72E-05,0.000198992,0.001454273
高级,0.001499615,0.00058248,0.00045048,9.98E-05,0.000128277
伊朗,0.001609826,0.001209333,0.001014292,0.000383191,0.000256987
北京,0.000165354,0.000387803,0.000257677,0.000185136,0.001497008
运营商,0.001609905,0.001298962,0.001207541,0.000567471,0.000235757
出现,0.000660412,0.000492883,0.000676261,0.000709635,0.001861294
集成电路,0.001486066,0.001224252,0.000950449,0.002155942,0.000728018
本次,0.001499733,0.000865941,0.000467016,0.000269555,0.000150022
分析师,0.001031948,0.000791563,0.001496629,0.000128667,0.000341957
